date,deaths,confirmed,recovered,projectedDeaths,lethality,derivedConfirmed,derivedLethality,testCoverage,deaths_per1mio,confirmed_per1mio,recovered_per1mio,projectedDeaths_per1mio,derivedConfirmed_per1mio
2020-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-02,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-03,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-04,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-05,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-06,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-07,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-08,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-09,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-10,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-11,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-12,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-13,0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-14,0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-15,0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-16,0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-17,0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-18,0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-19,0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-20,0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-21,0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-22,0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-23,0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-24,0,16.0,14.0,0.0,0.0,67.0,0.0,0.239,0.0,2.0,1.0,0.0,7.0
2020-02-25,0,17.0,14.0,0.0,0.0,67.0,0.0,0.254,0.0,2.0,1.0,0.0,7.0
2020-02-26,0,27.0,15.0,0.0,0.0,100.0,0.0,0.27,0.0,3.0,1.0,0.0,10.0
2020-02-27,0,46.0,16.0,0.0,0.0,100.0,0.0,0.46,0.0,5.0,2.0,0.0,10.0
2020-02-28,0,48.0,16.0,0.0,0.0,233.0,0.0,0.206,0.0,5.0,2.0,0.0,23.0
2020-02-29,0,79.0,16.0,0.0,0.0,300.0,0.0,0.263,0.0,8.0,2.0,0.0,29.0
2020-03-01,0,130.0,16.0,0.0,0.0,367.0,0.0,0.354,0.0,13.0,2.0,0.0,36.0
2020-03-02,0,159.0,16.0,0.0,0.0,567.0,0.0,0.28,0.0,16.0,2.0,0.0,56.0
2020-03-03,0,196.0,16.0,0.0,0.0,800.0,0.0,0.245,0.0,19.0,2.0,0.0,79.0
2020-03-04,0,262.0,16.0,0.0,0.0,933.0,0.0,0.281,0.0,26.0,2.0,0.0,92.0
2020-03-05,0,482.0,16.0,0.0,0.0,1467.0,0.0,0.329,0.0,47.0,2.0,0.0,144.0
2020-03-06,0,670.0,17.0,0.0,0.0,2233.0,0.0,0.3,0.0,66.0,2.0,0.0,219.0
2020-03-07,0,799.0,18.0,0.0,0.0,2800.0,0.0,0.285,0.0,78.0,2.0,0.0,275.0
2020-03-08,0,1040.0,18.0,0.0,0.0,3133.0,0.0,0.332,0.0,102.0,2.0,0.0,308.0
2020-03-09,2,1176.0,18.0,0.0,0.002,4100.0,0.0,0.287,0.0,115.0,2.0,0.0,403.0
